Player,Squad,Comp,Position_Primary,Age,Gls,Ast,Actual_Value,Predicted_Value,Value_Difference,Actual_Value_M,Predicted_Value_M,Difference_M
David Raya,Arsenal,eng Premier League,GK,28.0,0,0,40000000,7972896.717737548,-32027103.282262452,40.0,7.972896717737548,-32.02710328226245
Anthony Gordon,Newcastle Utd,eng Premier League,FW,23.0,6,5,65000000,35126058.99352226,-29873941.006477743,65.0,35.12605899352226,-29.873941006477743
Gregor Kobel,Dortmund,de Bundesliga,GK,26.0,0,0,40000000,10651691.035089724,-29348308.964910276,40.0,10.651691035089724,-29.348308964910277
Pablo Barrios,Atlético Madrid,es La Liga,MF,21.0,1,4,50000000,20853606.78567904,-29146393.21432096,50.0,20.853606785679037,-29.146393214320963
Pau Torres,Aston Villa,eng Premier League,DF,27.0,0,0,40000000,11039993.794912698,-28960006.205087304,40.0,11.039993794912698,-28.960006205087303
Éder Militão,Real Madrid,es La Liga,DF,26.0,1,1,40000000,12464257.092485163,-27535742.907514837,40.0,12.464257092485163,-27.535742907514837
Archie Gray,Tottenham,eng Premier League,DF,18.0,0,0,35000000,8700382.252095927,-26299617.747904073,35.0,8.700382252095926,-26.299617747904072
Oihan Sancet,Athletic Club,es La Liga,MF,24.0,15,1,60000000,33908973.04802865,-26091026.951971352,60.0,33.90897304802865,-26.09102695197135
Edmond Tapsoba,Leverkusen,de Bundesliga,DF,25.0,0,0,40000000,14338114.989994695,-25661885.010005303,40.0,14.338114989994695,-25.661885010005303
Mathys Tel,Tottenham,eng Premier League,FW,19.0,2,1,40000000,15008717.161649358,-24991282.838350642,40.0,15.008717161649358,-24.991282838350642
Mathys Tel,Bayern Munich,de Bundesliga,FW,19.0,0,1,40000000,15008717.161649358,-24991282.838350642,40.0,15.008717161649358,-24.991282838350642
Kyogo Furuhashi,Rennes,fr Ligue 1,FW,29.0,0,0,12000000,-12810220.595422268,-24810220.595422268,12.0,-12.810220595422267,-24.81022059542227
Exequiel Palacios,Leverkusen,de Bundesliga,MF,25.0,1,6,40000000,15259892.191190211,-24740107.808809787,40.0,15.259892191190211,-24.740107808809785
Diogo Jota,Liverpool,eng Premier League,FW,27.0,6,3,45000000,20469413.55288004,-24530586.44711996,45.0,20.46941355288004,-24.53058644711996
Giorgio Scalvini,Atalanta,it Serie A,DF,20.0,0,0,35000000,10897291.945825243,-24102708.05417476,35.0,10.897291945825243,-24.10270805417476
Rasmus Højlund,Manchester Utd,eng Premier League,FW,21.0,4,0,45000000,20914110.0308145,-24085889.9691855,45.0,20.9141100308145,-24.0858899691855
Nathan Aké,Manchester City,eng Premier League,DF,29.0,0,0,32000000,8158988.617411576,-23841011.382588424,32.0,8.158988617411577,-23.841011382588423
Scott McTominay,Napoli,it Serie A,MF,27.0,12,4,40000000,16364422.164966049,-23635577.835033953,40.0,16.364422164966047,-23.635577835033953
Scott McTominay,Manchester Utd,eng Premier League,MF,27.0,0,0,40000000,16364422.164966049,-23635577.835033953,40.0,16.364422164966047,-23.635577835033953
Unai Simón,Athletic Club,es La Liga,GK,27.0,0,0,28000000,5088238.798862409,-22911761.20113759,28.0,5.088238798862409,-22.91176120113759
Ibrahim Sangaré,Nott'ham Forest,eng Premier League,MF,26.0,0,1,28000000,5203958.883843029,-22796041.116156973,28.0,5.203958883843029,-22.796041116156974
Abdukodir Khusanov,Lens,fr Ligue 1,DF,20.0,0,0,35000000,13142898.666757988,-21857101.333242014,35.0,13.142898666757988,-21.857101333242014
Abdukodir Khusanov,Manchester City,eng Premier League,DF,20.0,0,0,35000000,13142898.666757988,-21857101.333242014,35.0,13.142898666757988,-21.857101333242014
Evan Ferguson,Brighton,eng Premier League,FW,19.0,1,0,32000000,10442291.794158302,-21557708.205841698,32.0,10.442291794158303,-21.5577082058417
Evan Ferguson,West Ham,eng Premier League,FW,19.0,0,0,32000000,10442291.794158302,-21557708.205841698,32.0,10.442291794158303,-21.5577082058417
Pape Matar Sarr,Tottenham,eng Premier League,MF,21.0,3,2,40000000,18816187.493528992,-21183812.506471008,40.0,18.816187493528993,-21.183812506471007
Giorgi Mamardashvili,Valencia,es La Liga,GK,23.0,0,0,30000000,9489927.037737736,-20510072.962262265,30.0,9.489927037737736,-20.510072962262264
Marcos Senesi,Bournemouth,eng Premier League,DF,27.0,0,0,24000000,5360609.510609399,-18639390.4893906,24.0,5.3606095106093985,-18.6393904893906
Ayyoub Bouaddi,Lille,fr Ligue 1,MF,16.0,0,1,30000000,11578243.925402276,-18421756.074597724,30.0,11.578243925402276,-18.421756074597724
Álex Remiro,Real Sociedad,es La Liga,GK,29.0,0,0,25000000,6856304.923724259,-18143695.07627574,25.0,6.8563049237242595,-18.14369507627574
Michael Olise,Bayern Munich,de Bundesliga,FW,22.0,12,15,80000000,62123316.29230495,-17876683.707695052,80.0,62.12331629230495,-17.87668370769505
